Data-Hora,-GE
01/01/2019-00:00,9.435
01/01/2019-01:00,8.284
01/01/2019-02:00,5.957
01/01/2019-03:00,7.699
01/01/2019-04:00,6.742
01/01/2019-05:00,3.504
01/01/2019-06:00,5.198
01/01/2019-07:00,7.204
01/01/2019-08:00,14.122
01/01/2019-09:00,19.06
01/01/2019-10:00,14.282
01/01/2019-11:00,14.04
01/01/2019-12:00,10.257
01/01/2019-13:00,22.038
01/01/2019-14:00,33.686
01/01/2019-15:00,41.921
01/01/2019-16:00,44.339
01/01/2019-17:00,42.344
01/01/2019-18:00,34.144
01/01/2019-19:00,18.555
01/01/2019-20:00,22.085
01/01/2019-21:00,14.775
01/01/2019-22:00,11.607
01/01/2019-23:00,16.116
02/01/2019-00:00,16.018
02/01/2019-01:00,12.869
02/01/2019-02:00,10.465
02/01/2019-03:00,4.05
02/01/2019-04:00,6.331
02/01/2019-05:00,4.684
02/01/2019-06:00,3.242
02/01/2019-07:00,2.185
02/01/2019-08:00,12.182
02/01/2019-09:00,17.065
02/01/2019-10:00,15.563
02/01/2019-11:00,13.601
02/01/2019-12:00,20.622
02/01/2019-13:00,27.44
02/01/2019-14:00,40.226
02/01/2019-15:00,42.393
02/01/2019-16:00,34.909
02/01/2019-17:00,24.957
02/01/2019-18:00,25.233
02/01/2019-19:00,21.572
02/01/2019-20:00,19.378
02/01/2019-21:00,16.899
02/01/2019-22:00,15.941
02/01/2019-23:00,12.618
03/01/2019-00:00,11.308
03/01/2019-01:00,14.051
03/01/2019-02:00,11.421
03/01/2019-03:00,9.956
03/01/2019-04:00,8.136
03/01/2019-05:00,7.535
03/01/2019-06:00,5.581
03/01/2019-07:00,5.715
03/01/2019-08:00,20.534
03/01/2019-09:00,22.443
03/01/2019-10:00,21.004
03/01/2019-11:00,15.702
03/01/2019-12:00,14.043
03/01/2019-13:00,24.072
03/01/2019-14:00,34.408
03/01/2019-15:00,41.271
03/01/2019-16:00,42.677
03/01/2019-17:00,36.042
03/01/2019-18:00,24.527
03/01/2019-19:00,26.21
03/01/2019-20:00,27.834
03/01/2019-21:00,20.564
03/01/2019-22:00,17.253
03/01/2019-23:00,23.119
04/01/2019-00:00,20.314
04/01/2019-01:00,12.322
04/01/2019-02:00,4.44
04/01/2019-03:00,2.902
04/01/2019-04:00,9.821
04/01/2019-05:00,5.396
04/01/2019-06:00,1.622
04/01/2019-07:00,0.503
04/01/2019-08:00,7.149
04/01/2019-09:00,12.107
04/01/2019-10:00,14.126
04/01/2019-11:00,13.852
04/01/2019-12:00,18.092
04/01/2019-13:00,15.193
